code;family_variant;parent;categories;climate;description;price;name;url_key;pattern;style_bottom;style_general;image;small_image;thumbnail
MH11;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_all_weather,climate_cool,climate_indoor,climate_spring,climate_windy;"<p>The Grayson Crewneck Sweatshirt gives you that ageless, classic look &ndash; a style that comes back around nearly every season. What's more, its performance and temp-control values are always in vogue.</p>
<p>&bull; Cream crewneck sweatshirt with black accents.<br />&bull; 80% cotton/20% polyester fleece. <br />&bull; Patterned knit hood lining. <br />&bull; Knit cuffs and waist. <br />&bull; Pouch pocket. <br />&bull; Curl edged seam detail</p>";64;Grayson Crewneck Sweatshirt ;grayson-crewneck-sweatshirt;pattern_color_blocked;;;m/h/mh11-white_main.jpg;m/h/mh11-white_main.jpg;m/h/mh11-white_main.jpg
MH12;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_all_weather,climate_cool,climate_indoor,climate_spring,climate_windy;"<p>The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.</p>
<p>&bull; Mint striped full zip hoodie.<br />&bull; 100% bonded polyester fleece.<br />&bull; Pouch pocket.<br />&bull; Rib cuffs and hem. <br />&bull; Machine washable.</p>";69;Ajax Full-Zip Sweatshirt ;ajax-full-zip-sweatshirt;pattern_striped;;;m/h/mh12-green_main.jpg;m/h/mh12-green_main.jpg;m/h/mh12-green_main.jpg
MH13;top_color_size;;default_category_men_tops_hoodies_and_sweatshirts;climate_all_weather,climate_cool,climate_indoor,climate_spring,climate_windy;"<p>For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona&reg; fibers pull moisture away.</p>
<p>&bull; Light blue heather full zip hoodie.<br />&bull; Fitted flatlock seams.<br />&bull; Matching lining and drawstring. <br />&bull; Machine wash/dry.</p>";74;Marco Lightweight Active Hoodie;marco-lightweight-active-hoodie;pattern_solid;;;m/h/mh13-blue_main.jpg;m/h/mh13-blue_main.jpg;m/h/mh13-blue_main.jpg
MJ01;top_color_size;;default_category_men_tops_jackets;climate_cool,climate_rainy,climate_spring,climate_windy;"<p>The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker's paradise package.</p>
<p>&bull; Yellow full zip rain jacket.<br />&bull; Full-zip front. <br />&bull; Stand-up collar. <br />&bull; Elasticized cuffs. <br />&bull; Machine wash/dry.</p>";42;Beaumont Summit Kit;beaumont-summit-kit;pattern_solid;;style_general_lightweight,style_general_hooded,style_general_rain_coat,style_general_hard_shell,style_general_windbreaker,style_general__frac14__zip,style_general_reversible;m/j/mj01-yellow_main.jpg;m/j/mj01-yellow_main.jpg;m/j/mj01-yellow_main.jpg
MJ02;top_color_size;;default_category_men_tops_jackets;climate_cool,climate_rainy,climate_spring,climate_windy;"<p>Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech&trade; insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.</p>
<p>&bull; Lime 1/4 zip pullover.<br />&bull; Split pocket. <br />&bull; Thumb holes. <br />&bull; Machine wash/hang to dry.</p>";51;Hyperion Elements Jacket;hyperion-elements-jacket;pattern_solid;;style_general_insulated,style_general_rain_coat,style_general_hard_shell,style_general_windbreaker,style_general__frac14__zip;m/j/mj02-green_main.jpg;m/j/mj02-green_main.jpg;m/j/mj02-green_main.jpg
MJ03;top_color_size;;default_category_men_tops_jackets;climate_cool,climate_mild,climate_spring,climate_windy;"<p>Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.</p>
<p>Adjustable hood. <br />Split pocket. <br />Thumb holes. <br />Machine wash/hang to dry.</p>";49;Montana Wind Jacket;montana-wind-jacket;pattern_solid;;style_general_lightweight,style_general_hooded,style_general_hard_shell,style_general_windbreaker,style_general_full_zip;m/j/mj03-black_main.jpg;m/j/mj03-black_main.jpg;m/j/mj03-black_main.jpg
MJ04;top_color_size;;default_category_men_tops_jackets,default_category_collections_eco_friendly,default_category;climate_cold,climate_cool,climate_spring,climate_windy,climate_wintry;"<p>Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume.</p>
<p>&bull; Black 1/4 zip pullover with royal zipper. <br />&bull; Adjustable hood and sleeve cuffs. <br />&bull; Machine wash/air dry.</p>";47;Kenobi Trail Jacket;kenobi-trail-jacket;pattern_solid;;style_general_insulated,style_general_soft_shell,style_general__frac14__zip;m/j/mj04-black_main.jpg;m/j/mj04-black_main.jpg;m/j/mj04-black_main.jpg
MJ06;top_color_size;;default_category_men_tops_jackets,default_category_collections_eco_friendly,default_category;climate_all_weather,climate_indoor,climate_mild,climate_spring,climate_warm;"<p>Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.</p>
<p>&bull; Relaxed fit. <br />&bull; Hand pockets. <br />&bull; Machine wash/dry.<br />&bull; Reflective safety trim.</p>";56.99;Jupiter All-Weather Trainer ;jupiter-all-weather-trainer;pattern_solid;;style_general_insulated,style_general_lightweight,style_general_soft_shell,style_general_full_zip;m/j/mj06-blue_main.jpg;m/j/mj06-blue_main.jpg;m/j/mj06-blue_main.jpg
MJ07;top_color_size;;default_category_men_tops_jackets;climate_all_weather,climate_cool,climate_rainy,climate_spring,climate_windy;"<p>While you're getting fit, you need a fitted jacket to match. Striking color blocking patterns on hood, shoulders and arms are hallmarks of the Orion Two-Tone Fitted Jacket. They provide eye-catching contrast against the rich, torso tones of this 100% polyester, moisture-wicking essential.</p>
<p>&bull; Red full zip fleece with gray insets.<br />&bull; Double-knit construction.<br />&bull; Full athletic cut.<br />&bull; Set in sleeves.<br />&bull; Front pouch pocket.</p>";72;Orion Two-Tone Fitted Jacket;orion-two-tone-fitted-jacket;pattern_solid;;style_general_lightweight,style_general_hooded,style_general_rain_coat,style_general_soft_shell,style_general_full_zip;m/j/mj07-red_main.jpg;m/j/mj07-red_main.jpg;m/j/mj07-red_main.jpg
MJ08;top_color_size;;default_category_men_tops_jackets;climate_cold,climate_cool,climate_windy,climate_wintry;"<p>The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you're plugged in when working out.</p>
<p>&bull; Gray polyester/spandex full zip jacket with orange lining. <br />&bull; Right pocket device storage.<br />&bull; Cocona&reg; performance fabric. <br />&bull; Machine wash/dry.</p>";99;Lando Gym Jacket;lando-gym-jacket;pattern_solid;;style_general_soft_shell,style_general__frac14__zip,style_general_full_zip;m/j/mj08-gray_main.jpg;m/j/mj08-gray_main.jpg;m/j/mj08-gray_main.jpg
MJ09;top_color_size;;default_category_men_tops_jackets;climate_cool,climate_mild,climate_rainy,climate_spring,climate_windy;"<p>What's a little rain or snow when you're inside the Taurus Elements Shell? This specially engineered Cocona&reg; jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.</p>
<p>&bull; Yellow 1/4 zip pullover. <br />&bull; Two chest pockets.<br />&bull; Standard fit. <br />&bull; Waterproof, breathable, seam sealed. <br />&bull; Cocona&reg; performance fabric. <br />&bull; Machine wash/dry.</p>";65;Taurus Elements Shell;taurus-elements-shell;pattern_solid;;style_general_jacket,style_general_lightweight,style_general_rain_coat,style_general_windbreaker,style_general__frac14__zip;m/j/mj09-yellow_main.jpg;m/j/mj09-yellow_main.jpg;m/j/mj09-yellow_main.jpg
MJ10;top_color_size;;default_category_men_tops_jackets;climate_all_weather,climate_cool,climate_mild,climate_rainy,climate_spring,climate_windy;"<p>The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.</p>
<p>&bull; Red 1/4 zip pullover.<br />&bull; Adjustable VELCRO&reg; sleeve cuffs. <br />&bull; Two hand pockets. <br />&bull; Napoleon pocket. <br />&bull; Machine wash/dry</p>";66;"Mars HeatTech&trade; Pullover";mars-heattech-trade-pullover;pattern_solid;;style_general_lightweight,style_general_rain_coat,style_general_hard_shell,style_general_windbreaker,style_general__frac14__zip;m/j/mj10-red_main.jpg;m/j/mj10-red_main.jpg;m/j/mj10-red_main.jpg
MJ11;top_color_size;;default_category_men_tops_jackets;climate_all_weather,climate_spring,climate_windy,climate_wintry;"<p>Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.</p>
<p>&bull; Black full-zip flight jacket.<br />&bull; Cocona&reg; wicking fiber.<br />&bull; Machine wash/dry.</p>";60;Typhon Performance Fleece-lined Jacket;typhon-performance-fleece-lined-jacket;pattern_solid;;style_general_insulated,style_general_heavy_duty,style_general_hard_shell,style_general_windbreaker,style_general_full_zip;m/j/mj11-black_main.jpg;m/j/mj11-black_main.jpg;m/j/mj11-black_main.jpg
MJ12;top_color_size;;default_category_men_tops_jackets;climate_all_weather,climate_cool,climate_indoor,climate_spring;"<p>Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona&reg; technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.</p>
<p>&bull; 1/4 zip. Stand-up collar. <br />&bull; Machine wash/dry.<br />&bull; Quilted inner layer.</p>";45;Proteus Fitness Jackshirt;proteus-fitness-jackshirt;pattern_solid;;style_general_insulated,style_general_heavy_duty,style_general_soft_shell,style_general__frac14__zip;m/j/mj12-orange_main.jpg;m/j/mj12-orange_main.jpg;m/j/mj12-orange_main.jpg
MP01;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category;climate_cool,climate_spring;"<p>Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech&trade; fabric wicks away moisture so you don't have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.</p>
<p>&bull; Light gray heather knit straight leg pants.<br />&bull; Relaxed fit. <br />&bull; Inseam: 32"". <br />&bull; Machine wash/dry.<br />&bull; CoolTech&trade; wicking fabric.</p>";35;Caesar Warm-Up Pant;caesar-warm-up-pant;pattern_solid;style_bottom_workout_pants,style_bottom_sweatpants,style_bottom_track_pants;;m/p/mp01-gray_main.jpg;m/p/mp01-gray_main.jpg;m/p/mp01-gray_main.jpg
MP02;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_performance_fabrics,default_category;climate_cold,climate_cool,climate_wintry;"<p>You'll love the new Viktor LumaTech&trade; Pant, with featherweight fleece fabric lining and stretchy, sweat-wicking material. It delivers toasty warmth on the sidelines or in cold-weather training, with reflective trim for a safe finish.</p>
<p>&bull; Dark gray polyester/spandex straight leg pants.<br />&bull; Elastic waistband and internal drawstring.<br />&bull; Relaxed fit. <br />&bull; Machine wash/dry.</p>";46;"Viktor LumaTech&trade; Pant";viktor-lumatech-trade-pant;pattern_solid;style_bottom_workout_pants,style_bottom_track_pants;;m/p/mp02-gray_main.jpg;m/p/mp02-gray_main.jpg;m/p/mp02-gray_main.jpg
MP03;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_new_luma_yoga_collection,default_category;climate_all_weather,climate_cool,climate_indoor,climate_windy,climate_wintry;"<p>In the cold, even the toughest guys shiver, unless they're in the Geo Insulated Jogging Pant. Lightweight and wind resistant, they block brutal wind gusts and warm you to the bone. Breathable mesh keeps them dry on the inside.</p>
<p>&bull; Black polyester spandex pants with zipper pockets.<br />&bull; Reflective safety accents. <br />&bull; Loose fit.<br />&bull; On-seam pockets. <br />&bull; 8"" leg zips. 32"" inseam. <br />&bull; Machine wash/dry.</p>";51;Geo Insulated Jogging Pant;geo-insulated-jogging-pant;pattern_solid;style_bottom_workout_pants,style_bottom_sweatpants,style_bottom_track_pants;;m/p/mp03-black_main.jpg;m/p/mp03-black_main.jpg;m/p/mp03-black_main.jpg
MP04;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category;climate_all_weather,climate_cold,climate_cool,climate_spring,climate_windy,climate_wintry;"<p>Turn the corner and open it up -- your driveway is two blocks away. The Supernova Sport Pant gets you there with key features like moisture-wicking LumaTech&trade; fabric and mesh ventilation. Side seam pockets ensure total convenience during rest periods.</p>
<p>&bull; Dark heather gray straight leg cotton pants.<br />&bull; Relaxed fit. <br />&bull; Internal drawstring. <br />&bull; Machine wash/dry.</p>";45;Supernova Sport Pant;supernova-sport-pant;pattern_solid;style_bottom_workout_pants,style_bottom_sweatpants,style_bottom_track_pants;;m/p/mp04-gray_main.jpg;m/p/mp04-gray_main.jpg;m/p/mp04-gray_main.jpg
MP05;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_new_luma_yoga_collection,default_category;climate_spring,climate_windy,climate_wintry;"<p>Like it's namesake god of strength, the Kratos Gym Pant help you bring your best to bear on weight-based, plyometric and endurance exercise. They stretch and support in all the right places while ultra-light construction and moisture-wicking technology provide comfort.</p>
<p>&bull; Navy cotton straight leg pants.<br />&bull; Relaxed fit. <br />&bull; 2 side-seam pockets. <br />&bull; Internal zip pocket. <br />&bull; Drawstring waist. <br />&bull; Machine wash/dry.</p>";57;Kratos Gym Pant;kratos-gym-pant;pattern_solid;style_bottom_workout_pants,style_bottom_base_layer;;m/p/mp05-blue_main.jpg;m/p/mp05-blue_main.jpg;m/p/mp05-blue_main.jpg
MP06;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_eco_friendly,default_category;climate_all_weather,climate_cold,climate_cool,climate_mild,climate_windy,climate_wintry;"<p>When you're not sure you're up to the weather, don the Mithra Warmup Pant for a confidence boost. Its supersoft, stretchy fabric and fleece-like finish help prep your muscles and ease your mind. Designed for relaxed, easy-wear fit with handy ankle zips.</p>
<p>&bull; Ankle zips.<br />&bull; Elasticized waistband with draw cord.<br />&bull; Dual hand pockets.<br />&bull; Reflective elements for low-light safety.</p>";28;Mithra Warmup Pant;mithra-warmup-pant;pattern_solid;style_bottom_workout_pants,style_bottom_sweatpants;;m/p/mp06-gray_main.jpg;m/p/mp06-gray_main.jpg;m/p/mp06-gray_main.jpg
MP07;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_new_luma_yoga_collection,default_category;climate_all_weather,climate_cold,climate_cool,climate_spring,climate_wintry;"<p>Thirty degree temps are chilly for most, except when you're in Thorpe Track Pants. These top-of-the-line track bottoms are made from fast-drying, weather-resistant fabric with an internal breathable layer of mesh nylon to wick away moisture.</p>
<p>&bull; Moisture transfer properties. <br />&bull; 7% stretch.<br />&bull; Reflective safety trim.<br />&bull; Elastic drawcord waist.</p>";68;Thorpe Track Pant;thorpe-track-pant;pattern_solid;style_bottom_workout_pants,style_bottom_sweatpants,style_bottom_track_pants;;m/p/mp07-blue_main.jpg;m/p/mp07-blue_main.jpg;m/p/mp07-blue_main.jpg
MP08;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_new_luma_yoga_collection,default_category;climate_all_weather,climate_cool,climate_spring,climate_windy,climate_wintry;"<p>Climb every mountain, or hold every pose, in the all-purpose Zepellin Yoga Pant. With its thin fleece interior and smooth layer-friendly surface, you'll get all the comfort and versatility you need.</p>
<p>&bull; Smooth exterior for easy over-layering.<br />&bull; Brushed fleece interior insulates and wicks. <br />&bull; No-roll elastic waistband with inner drawstring.<br />&bull; Chafe-resistant flatlock seams.</p>";82;Zeppelin Yoga Pant;zeppelin-yoga-pant;pattern_solid;style_bottom_workout_pants,style_bottom_sweatpants,style_bottom_base_layer,style_bottom_track_pants,style_bottom_leggings;;m/p/mp08-green_main.jpg;m/p/mp08-green_main.jpg;m/p/mp08-green_main.jpg
MP09;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_new_luma_yoga_collection,default_category_collections_erin_recommends,default_category;climate_all_weather,climate_cold,climate_cool,climate_windy,climate_wintry;"<p>It's not often that your pants work as a yoga staple and a climbing buddy. The Livingston All-Purpose Tight is made with soft, 11% cotton and nylon polymer stretch construction that lets you find the right angle in the studio or on the mountain side.</p>
<p>&bull; Breathable stretch organic cotton/spandex.<br />&bull; Compression fit<br />&bull; Hidden key pocket<br />&bull; Elastic waist with internal drawcord.</p>";75;Livingston All-Purpose Tight;livingston-all-purpose-tight;pattern_solid;style_bottom_sweatpants,style_bottom_base_layer,style_bottom_compression,style_bottom_track_pants,style_bottom_leggings;;m/p/mp09-blue_main.jpg;m/p/mp09-blue_main.jpg;m/p/mp09-blue_main.jpg
MP10;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_erin_recommends,default_category;climate_cool,climate_indoor,climate_mild,climate_windy,climate_wintry;"<p>The Orestes Yoga Pant is a yoga basic that sustains the novice yogi well into the expert stage. Organic sustainable cotton and 9% stretch spandex let your body bend to your will while your conscience stays clear.</p>
<p>&bull; A yoga essential.<br />&bull; Breathable stretch organic cotton/spandex.<br />&bull; Standard Fit.</p>";66;Orestes Yoga Pant ;orestes-yoga-pant;pattern_solid;style_bottom_workout_pants,style_bottom_track_pants,style_bottom_leggings;;m/p/mp10-black_main.jpg;m/p/mp10-black_main.jpg;m/p/mp10-black_main.jpg
MP11;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category_collections_erin_recommends,default_category;climate_all_weather,climate_cold,climate_cool,climate_indoor,climate_mild,climate_rainy,climate_spring,climate_windy;"<p>The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.</p>
<p>&bull; Pants/shorts convertible.<br />&bull; Lightweight moisture wicking. <br />&bull; Water repellent.<br />&bull; Belted waist.</p>";74;Aether Gym Pant ;aether-gym-pant;pattern_solid;style_bottom_workout_pants,style_bottom_sweatpants,style_bottom_track_pants;;m/p/mp11-brown_main.jpg;m/p/mp11-brown_main.jpg;m/p/mp11-brown_main.jpg
MP12;bottom_color_size;;default_category_men_bottoms_pants,default_category_promotions_pants,default_category;climate_cool,climate_indoor,climate_mild,climate_spring,climate_windy,climate_wintry;"<p>Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.</p>
<p>&bull; Drawstring waist.<br />&bull; Loose, straight-leg fit.<br />&bull; Lightweight cotton-recycled blend.<br />&bull; Front pockets with stitching detail.<br />&bull; Elastic ankle.</p>";48;Cronus Yoga Pant ;cronus-yoga-pant;pattern_solid;style_bottom_workout_pants,style_bottom_track_pants,style_bottom_leggings;;m/p/mp12-black_main.jpg;m/p/mp12-black_main.jpg;m/p/mp12-black_main.jpg
MS01;top_color_size;;default_category_men_tops_tees;climate_all_weather,climate_indoor,climate_warm;"<p>Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.</p>
<p>Relaxed fit. <br />Short-Sleeve. <br />Machine wash/dry.</p>";24;Aero Daily Fitness Tee;aero-daily-fitness-tee;pattern_solid;;style_general_tee;m/s/ms01-blue_main.jpg;m/s/ms01-blue_main.jpg;m/s/ms01-blue_main.jpg
MS02;top_color_size;;default_category_men_tops_tees;climate_all_weather,climate_indoor,climate_warm;"<p>Don't be fooled by its classic style; the Ryker LumaTech&trade; Tee embodies the future of performance apparel. Its featherweight blend of fabrics wicks away moisture to keep you cool and dry, whether racking up miles, hitting three pointers or strutting the boardwalk.</p>
<p>&bull; Relaxed fit. <br />&bull; Short-Sleeve. <br />&bull; Machine wash/dry.</p>";28;"Ryker LumaTech&trade; Tee (V-neck)";ryker-lumatech-trade-tee-v-neck;pattern_solid;;style_general_tee;m/s/ms02-gray_main.jpg;m/s/ms02-gray_main.jpg;m/s/ms02-gray_main.jpg
MS03;top_color_size;;default_category_men_tops_tees;climate_all_weather,climate_indoor,climate_warm;"<p>The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.</p>
<p>&bull; Crew neckline. <br />&bull; Semi-fitted. <br />&bull; Cocona&reg; performance fabric. <br />&bull; Machine wash/dry.</p>";29;Balboa Persistence Tee;balboa-persistence-tee;pattern_solid;;style_general_tee;m/s/ms03-black_main.jpg;m/s/ms03-black_main.jpg;m/s/ms03-black_main.jpg
